subject,subject_display,class,precision,recall,f1,support
GmoneyS1,Subject 1,Left Hand,0.46296296296296297,0.9259259259259259,0.6172839506172839,27
GmoneyS1,Subject 1,Rest,0.0,0.0,0.0,22
GmoneyS1,Subject 1,Right Hand,0.5555555555555556,0.35714285714285715,0.43478260869565216,14
ashdawgS1,Subject 2,Left Hand,0.4358974358974359,0.68,0.53125,25
ashdawgS1,Subject 2,Rest,0.0,0.0,0.0,22
ashdawgS1,Subject 2,Right Hand,0.23809523809523808,0.38461538461538464,0.29411764705882354,13
glowstickS1,Subject 3,Left Hand,1.0,0.04,0.07692307692307693,25
glowstickS1,Subject 3,Rest,0.0,0.0,0.0,21
glowstickS1,Subject 3,Right Hand,0.22413793103448276,1.0,0.36619718309859156,13
idkYouDecideS1,Subject 4,Left Hand,0.44,0.5,0.46808510638297873,22
idkYouDecideS1,Subject 4,Rest,0.0,0.0,0.0,18
idkYouDecideS1,Subject 4,Right Hand,0.3125,0.5882352941176471,0.40816326530612246,17
